ssid,logs
CC(C)=O.O=C(Nc1ccccc1)c1ccc(C(=O)Nc2ccccc2)nc1,-3.20
CCO.Cc1c([N+](=O)[O-])cc2c(c1[N+](=O)[O-])C(C)(C)CC2(C)C,-1.70
c1ccccc1.O=C(O)/C(Br)=C/c1ccccc1Cl,-1.61
CCO.CC(=O)CC(c1ccccc1)C(CC(C)=O)c1ccccc1,-2.07
CC(C)=O.Cc1cccc(C)c1C(=O)O,0.41
CCO.CC1(C)[C@@]2(C)CC[C@]1(Cl)C(=O)OC2=O,-1.46
O.CC(=O)Nc1nnc(S(N)(=O)=O)s1,-2.43
CC(C)=O.CCCC(=O)N(C(=O)Nc1ccc(N(C)C)cc1)c1ccc(N(C)C)cc1,-1.95
c1ccccc1.C[C@]12CCc3c(ccc4cc(O)ccc34)[C@@H]1CCC2=O,-2.37
CCO.CS(=O)(=O)c1ccc(C=O)cc1,-2.17
CCO.CCCn1c(=O)c2[nH]c(C34CC5CC(CC3C5)C4)nc2n(CCC)c1=O,-1.30
CC(C)=O.O=P1(CO)Oc2ccccc2-c2ccccc21,-1.40
c1ccccc1.Cc1c(O)cccc1O,-1.14
O.O=C(Nc1ccccc1)c1ccccc1I,-4.21
CC(C)=O.O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,0.18
c1ccccc1.Cc1cc(O)cc(O)c1C,-1.62
O.O=C1c2ccccc2C(=O)c2ccccc21,-5.19
c1ccccc1.O=[N+]([O-])c1ccc(C2OCC3(CO2)COC(c2ccc([N+](=O)[O-])cc2)OC3)cc1,-2.05
O.COP(=S)(Oc1cc(Cl)c(Br)cc1Cl)c1ccccc1,-5.66
CCO.Cc1c([N+](=O)[O-])c(C)c([N+](=O)[O-])c(C)c1[N+](=O)[O-],-3.11
O.CCCCOc1ccc(C(=O)OCCN(CC)CC)cc1,-3.84
O.Clc1cc(Cl)c(Cl)cc1Cl,-5.51
CCO.O=C(C1CCCCC1)N(O)C1CCCCC1,-0.77
O.CCCCCC,-3.84
O.Clc1ccc(-c2ccc(Cl)cc2Cl)cc1,-6.21
O.CCCCCCCC,-5.24
O.CC(O)C(N)C(=O)O,-0.09
O.COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1,-2.96
c1ccccc1.C/C=C/C1=CC(=O)[C@H](O)[C@H]1O,-2.89
CC(C)=O.CCOC(=O)c1c(C)oc2cc3c(C(=O)OCC)c(C)oc3cc12,-2.27
O.O=Cc1ccco1,-0.10
c1ccccc1.CC/C=C/C(N)=O,-1.91
O.CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-5.68
CCO.CC(C)=C1CC(=O)C(C)C(=O)C1,-0.40
CCO.NC(=O)NCCCCC(=O)O,-2.12
CCO.COCN1C(=O)c2ccccc2C1=O,-1.49
CCO.Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl,-0.76
c1ccccc1.CC(=O)Oc1ccc(OC(C)=O)c2c1C(=O)c1ccccc1C2=O,-1.72
c1ccccc1.Cc1ccc2c(=O)c3ccccc3c3c2c1c1c(C)ccc2c(=O)c4ccccc4c3c21,-1.69
O.CNC(=O)Oc1cc(C)c(SC)c(C)c1,-3.92
O.CC(C)(C)CO,-0.40
O.OCC1OC(O)C(O)C(O)C1O,0.74
CCO.O=C1[C@H]2CC=CC[C@H]2C(=O)N1SC(Cl)(Cl)Cl,-2.02
CCO.CCCCCCCCCCP(=O)(O)O,-0.52
O.CC(C)Nc1nc(Cl)nc(NC(C)C)n1,-4.43
O.CCOc1ccc([N+](=O)[O-])cc1N,-3.21
c1ccccc1.COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314,-0.48
O.Cc1cccc2c1Cc1ccccc1-2,-5.22
O.CCO,1.10
CCO.CCCCCCCC(=O)N(C(=O)Nc1ccc(N(C)C)cc1)c1ccc(N(C)C)cc1,-2.55
CC(C)=O.CC(=O)[C@@]12O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]12C,-0.73
CC(C)=O.O=C(O)CC(O)(CC(=O)O)C(=O)O,0.05
CC(C)=O.[N-]=[N+]=NC(=O)c1ccccc1[N+](=O)[O-],0.42
CCO.Cc1cccc2cc(C(=O)O)c(=O)oc12,-0.95
CCO.CCC(C)(CC)OC(=O)NC(N)=O,-1.33
O.C=CCCCCCCCC,-5.51
CCO.CCCCCC(=O)N(C(=O)Nc1ccc(N(C)C)cc1)c1ccc(N(C)C)cc1,-2.70
CC(C)=O.C=C[C@H]1C[N@@]2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccccc12,-2.61
c1ccccc1.CC(C)(CO)CO,-0.57
CC(C)=O.OC[C@H](O)[C@@H](O)[C@H](O)CO,-2.49
CC(C)=O.Nc1ccc(C(=O)O)cc1,0.34
CCO.NC(=O)N1c2ccccc2C=Cc2ccccc21,-1.10
CCO.Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-3.63
CC(C)=O.O=C(O)c1cccc(O)c1,0.27
c1ccccc1.O=C(O)c1ccccc1Br,-1.27
O.CCCCCCCCCCCCO,-4.67
CC(C)=O.Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,-2.14
c1ccccc1.CCC1(c2ccccc2)NC(=O)N(C)C1=O,-0.61
CC(C)=O.O=C(O)Cn1cnnn1,0.19
CC(C)=O.O=C1OC(=O)c2c(Cl)c(Cl)c(Cl)c(Cl)c21,-1.07
CC(C)=O.Nc1c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],-0.13
c1ccccc1.Oc1ccccc1Cc1ccccc1O,-0.84
O.c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12,-8.66
O.CC(=O)N(C)C(=O)COC(=O)c1ccccc1,-0.49
CC(C)=O.Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)C,-1.92
CCO.CC12CCC(C(Cl)C1=O)C2(C)C,-0.17
c1ccccc1.OCCSCCO,-1.12
O.CNN,1.34
c1ccccc1.C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,-3.45
CCO.NCC(=O)O,-3.41
c1ccccc1.O=C(O)c1cccc(Cl)c1,-1.38
CCO.CCOC(=O)c1ccc(NC(N)=S)cc1,-0.87
O.CC1(C)CON(Cc2ccccc2Cl)C1=O,-2.34
c1ccccc1.c1ccc(C2SC(c3ccccc3)SC(c3ccccc3)S2)cc1,-0.84
CCO.O=[N+]([O-])c1ccc(Nc2ccccc2)c([N+](=O)[O-])c1,-2.40
CCO.CC(C)(O)P1(=O)OCC2(CO1)COP(=O)(C(C)(C)O)OC2,-1.50
O.CCc1ccccn1,0.51
O.N#Cc1cc(Br)c(O)c(Br)c1,-3.33
CCO.Cc1ccc(N(/C(=N/c2ccccc2)Nc2ccccc2)c2nc3cc(C)ccc3[nH]2)cc1,-2.74
CCO.CCCCCCCCCCCC(=O)O,0.56
O.CC(C)(C)c1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,-3.74
O.c1ccc(CNCCNCc2ccccc2)cc1,-1.21
c1ccccc1.O=C1CCCCCCCCCCCN1,-0.92
CC(C)=O.CC(=O)CC(=O)N(c1ccccc1)c1ccccc1,0.26
c1ccccc1.CCCOCN1C(=O)c2ccccc2C1=O,0.06
CC(C)=O.O[C@]1(c2ccccc2)c2ccccc2[C@](O)(c2ccccc2)c2ccccc21,-2.16
CC(C)=O.CN(C(=O)C(=O)N(C)[N+](=O)[O-])[N+](=O)[O-],0.07
c1ccccc1.CCCCCCCCCCCCC(=O)CCCCC(=O)O,-1.60
O.CCCCC(C)CC,-5.16
c1ccccc1.CC1=C2[C@H]3OC(=O)[C@@H](C)[C@@H]3CC[C@@]2(C)C=CC1=O,-0.73
O.CN(C)C,0.84
CCO.O=C(O)CCCCCC(=O)O,0.32
CCO.OCC1OC2OC(C(Cl)(Cl)Cl)OC2C1O,-0.46
O.CC(C)(C)C(C)(C)O,-0.72
CCO.CCCC(Cc1ccccc1)N(O)N(O)C(CCC)Cc1ccccc1,0.04
CCO.O[C@H]1[C@@H]([C@H]2CO[C@H](C(Cl)(Cl)Cl)O2)O[C@@H]2O[C@@H](C(Cl)(Cl)Cl)O[C@H]12,-3.13
CC(C)=O.NC(=O)c1cccc(S(N)(=O)=O)c1,-0.92
CC(C)=O.CCCCCCCCCCCCCCCCCC(=O)O,-0.98
CC(C)=O.CC#CC(=O)N1CCC[C@H]1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,-2.19
CCO.CC(=O)[C@@]12O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]12C,-1.44
CC(C)=O.COc1ccccc1Nc1cc(C)c([N+](=O)[O-])cc1[N+](=O)[O-],-0.92
CC(C)=O.Cc1ccc([N+](=O)[O-])cc1,0.98
O.COc1nc(NC(C)C)nc(NC(C)C)n1,-2.48
O.CC(=O)Nc1ccc([N+](=O)[O-])cc1,-2.69
c1ccccc1.COc1cc2c(cc1OC)[C@@]13CCN4CC5=CCO[C@H]6CC(=O)N2[C@H]1[C@H]6[C@H]5C[C@H]43,-1.37
O.CC(C)=CCN1CC[C@@]2(C)c3cc(O)ccc3C[C@@H]1[C@@H]2C,-3.80
O.S=C1NCCN1,-0.71
O.Cc1ccc(S(=O)(=O)N(Cl)Cl)cc1,-3.51
O.O=[N+]([O-])c1ccc2ccccc2c1,-3.82
CCO.Nc1ccc(S(=O)(=O)NC(CO)(CO)CO)cc1,-1.48
CCO.c1ccc2oc(CSCc3nc4ccccc4o3)nc2c1,-0.19
O.CCCNCCC,-0.46
O.CN(C)C(=S)SSC(=S)N(C)C,-3.90
CCO.Cc1ccc2ccc(C)cc2c1,0.07
CCO.CN(C(=O)C(=O)N(C)[N+](=O)[O-])[N+](=O)[O-],-1.55
CC(C)=O.CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,-1.55
O.CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-3.56
O.Cn1ccc(=O)[nH]c1=O,-0.80
O.COc1ccc(S(=O)(=O)c2coc(S(N)(=O)=O)c2)cc1,-3.02
c1ccccc1.CCCC(=CC(=O)O)c1ccccc1,0.43
c1ccccc1.O=S(=O)(N=P(Cl)(Cl)Cl)c1ccc2ccccc2c1,-0.78
CCO.CN[C@@]1(c2ccccc2Cl)CCCCC1=O,-0.53
CCO.Cc1ccc(OP(=O)(Oc2ccc(C)cc2)Oc2ccc(C)cc2)cc1,-0.72
CCO.C1=CC2=Nc3[nH]c(c4ccccc34)N=C3C=CC=C(N=c4[nH]c(c5ccccc45)=NC(=C1)N2)N3,-1.68
O.Nc1ccccc1N,-0.42
CCO.CCCCCCCCC(=O)N(C(=O)Nc1ccc(N(C)C)cc1)c1ccc(N(C)C)cc1,-2.21
O.COP(=O)(NC(C)=O)SC,0.54
CC(C)=O.Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],0.55
CCO.O=C(C(=O)c1ccccc1)c1ccccc1,-0.74
O.Cc1cncc(C)c1,0.38
CC(C)=O.O=S(=O)(O)c1cc(I)c(O)c2ncccc12,-3.64
CC(C)=O.CCCCCCCCCC(O)CC(=O)N(C(=O)Nc1ccc(N(C)C)cc1)c1ccc(N(C)C)cc1,-1.17
CCO.CC12CCC(C(=NO)C1=NO)C2(C)C,0.71
O.CCSC(=O)N(CC)C1CCCCC1,-3.40
c1ccccc1.ClC(c1ccccc1)(c1ccccc1)c1ccccc1,0.43
CCO.Nc1cc(Cl)ccc1Nc1ccccc1,-0.44
O.CCOc1ccc(NC(N)=O)cc1,-2.17
CCO.Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,-3.68
c1ccccc1.CCOC(=O)C(C#N)=NNc1ccccc1OC,-0.94
O.Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,-3.00
CCO.CCCCCCCCCCCCOC(=O)NC(N)=O,-2.99
CCO.O=C(O)CCCCCCCCC(=O)O,-0.48
CCO.CCCCCCCCCCCCCCCc1cccc(O)c1,0.59
O.O=c1cccc2n1CC1CNCC2C1,0.36
O.COCC1COc2cc3ncnc(Nc4cccc(Br)c4)c3cc2O1,-3.22
CCO.O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,-1.69
c1ccccc1.O=C(O)[C@H]1c2ccccc2[C@H](C(=O)c2ccccc2)c2ccccc21,-1.64
CCO.C=CCNC(=O)N(c1ccccc1)c1ccccc1,-0.03
O.CNC(=O)Oc1ccccc1C(C)C,-2.86
O.CSc1nc(NC(C)C)nc(NC(C)C)n1,-4.10
c1ccccc1.Cc1ccc(N(/C(=N/c2ccccc2)Nc2ccccc2)c2nc3cc(C)ccc3[nH]2)cc1,-1.79
c1ccccc1.O=C1c2ccccc2-c2ccccc21,0.52
O.Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,-2.78
O.Cc1ccc2c(c1)Oc1ncc(N)cc1C(=O)N2C,-3.04
c1ccccc1.CCCC(N)=O,-1.60
O.CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,-3.13
CCO.C=CC(CC)OC(=O)NC(N)=O,-1.02
CC(C)=O.O=P(O)(O)c1ccccc1,0.37
CCO.COC(=O)c1c(C)cc(O)c(C)c1O,0.21
CC(C)=O.CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,-0.78
O.CC(C)(C)C(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C,-4.58
CCO.CCN(CC)CCOC(=O)c1ccc(NC(=O)CCC(=O)O)cc1,-3.39
CCO.[C-]#[N+]CS(=O)(=O)c1ccc(C)cc1,-0.56
O.C1CCCCCC1,-3.52
CC(C)=O.CC(OCC(N)=O)C(N)=O,-1.16
CCO.CCC(=O)N(C(=O)Nc1ccc(N(C)C)cc1)c1ccc(N(C)C)cc1,-3.15
c1ccccc1.CCC12SC3SC(S1)SC(CC)(S3)S2,-1.33
O.O=C(c1ccccc1)C(F)(F)F,-1.16
CC(C)=O.O=C1CCC(c2ccc(Cl)c(Cl)c2)c2ccccc21,-0.36
CC(C)=O.Cc1cc([N+](=O)[O-])c(C)c([N+](=O)[O-])c1[N+](=O)[O-],-0.68
CC(C)=O.CC(=O)[C@@]12O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@H](O)C[C@@]12C,-1.66
CCO.NC(Cc1ccccc1)C(=O)O,-2.58
CCO.CCCCCCCCCCCCCCCCCNC(=O)CCCCC(=O)O,-2.31
c1ccccc1.COc1ccc(C(=O)C=Cc2ccccc2O)cc1,-1.63
CC(C)=O.O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,-3.77
CCO.CCCCCCCCCCCCCCCC(=O)NN,-2.48
CCO.CC(N)C(=O)O,-2.05
CCO.NC(=O)NC(=O)OCc1ccc2c(c1)OCO2,-2.56
CCO.NC(=O)c1cccc(O)c1,-0.39
CCO.Cc1c(O)c(=O)ccn1C,-1.61
CCO.NS(=O)(=O)c1cccc(S(N)(=O)=O)c1,-1.29
c1ccccc1.c1ccc2c(c1)Cc1ccccc1-2,0.15
c1ccccc1.CCCCCCC(CCC)(CCC)C(=O)NO,-0.61
CCO.CCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCc4cc(OC(=O)c5ccccc5)ccc4[C@H]3CC[C@]12C,-1.66
O.O=C(Nc1cccc(Cl)c1)OCC#CCCl,-4.37
O.CC(=O)Nc1ccc(S(N)(=O)=O)cc1,-1.61
O.CC1CNCCN1,0.74
O.CCCCCCCCCCCCCCCCCCO,-8.40
O.NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,-3.39
CCO.CCCCc1ccc(/C(=N\Nc2ccc(C)cc2)C(=O)O)cc1,-1.05
CCO.COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314,0.22
O.CC12CC1(C)C(=O)N(c1cc(Cl)cc(Cl)c1)C2=O,-4.80
CC(C)=O.CC(=O)OC[C@H]1O[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,-0.02
O.CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,-1.59
O.O=C(O)c1ccc(F)c([N+](=O)[O-])c1,-1.58
O.CCNc1nc(Cl)nc(NC(C)(C)C#N)n1,-3.15
c1ccccc1.[N-]=[N+]=NC(c1ccccc1)C(O)C(=O)O,-0.52
c1ccccc1.CCCCCCCCCCC(N)=O,-1.76
O.CN1CCOCC1,1.00
O.CCCCCC1CCCC1,-6.08
c1ccccc1.O=C(O)CCCC(=O)NNC(=O)c1ccccc1,-1.52
c1ccccc1.CCC1=C(C)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(CC)c5C)C(C)=C4CC)c(CC)c3C,-2.80
O.c1ccc2c(c1)Cc1ccccc1-2,-4.97
O.CSCCC(N)C(=O)O,-0.42
CC(C)=O.CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,-3.04
CC(C)=O.CC1(C)COP(=O)(NCCNP2(=O)OCC(C)(C)CO2)OC1,-1.36
CC(C)=O.O=C(O)c1ccco1,0.44
CC(C)=O.O=[N+]([O-])c1ccc2nc3c([N+](=O)[O-])cccc3[n+]([O-])c2c1,-1.46
O.CCN(CC)CC,-0.14
CCO.O=S(=O)(O)c1cc(I)c(O)c2ncccc12,-2.06
O.CC1(N)CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C1,-4.38
O.OCCOc1ccccc1,-0.70
O.CNC(=O)Oc1cc(C)cc(C)c1,-2.58
c1ccccc1.O=C(O)c1c2ccccc2c(-c2ccccc2)c2c(-c3ccccc3)c3ccccc3c(-c3ccccc3)c12,-3.52
CCO.CC(C)CC(C)OC(=O)NC(N)=O,-1.82
O.OCc1ccccc1OC1OC(CO)C(O)C(O)C1O,-0.85
O.CN(C(=O)COc1nc2ccccc2s1)c1ccccc1,-4.87
c1ccccc1.O=C(O)c1ccccc1O,-1.31
O.CC1(N)CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C1,-5.64
O.Clc1cc(Cl)c2nsnc2c1Cl,-4.98
c1ccccc1.O=C1c2ccccc2C(O)(c2ccccc2)N1CCBr,-1.62
O.COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1,-3.68
CCO.NS(=O)(=O)c1ccc(S(N)(=O)=O)cc1,-1.77
O.CCCC(C)(C)O,-0.49
O.Nc1ccc2cc3ccccc3cc2c1,-5.17
CCO.O=CNCC(=O)O,-0.52
O.CCCCCCCI,-4.81
CCO.OCc1cn(Cc2ccccc2)nn1,0.15
CC(C)=O.C=Cn1cc(CO[C@@H]2CO[C@@H]3[C@@H](O)CO[C@H]23)nn1,-1.40
c1ccccc1.CCOC(=O)C(C#N)=NNc1ccc2ccccc2c1,-0.77
CCO.O=C(O)c1ccccn1,-0.36
CC(C)=O.Nc1cccnc1,0.86
O.C=CC(=O)OCC,-0.74
O.N#Cc1cc(I)c(O)c(I)c1,-3.61
CCO.CCOC(=O)C(C)SC1=N/C(=C\c2ccccc2)C(=O)N1c1ccccc1,-1.76
O.ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,-4.91
CC(C)=O.[N-]=[N+]=NC(=O)c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],-0.95
CCO.CCOC(=O)[C@@H](O)[C@@H](O)C(N)=O,-1.07
c1ccccc1.Cc1c([N+](=O)[O-])cc([N+](=O)[O-])c(O)c1[N+](=O)[O-],-0.31
c1ccccc1.CC(C)[C@@H](C)/C=C/[C@@H](C)[C@H]1CC[C@H]2C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,-1.63
CC(C)=O.ClP1(Cl)=NP(Cl)(Cl)=NP(Cl)(Cl)=N1,-0.42
CC(C)=O.C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)/C=C/[C@H](C)C(C)C,-0.20
CC(C)=O.COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC,-0.98
O.C#CC(C)OC(=O)Nc1cccc(Cl)c1,-2.62
O.NS(=O)(=O)c1cc2c(s1)C(O)CCS2=O,-1.57
O.CNC(=O)Oc1ccccc1C1OCCO1,-1.57
CCO.COc1cnc(Cl)nc1Cl,-0.09
O.OC1CCCCC1,-0.44
O.C=C(C)CN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-6.12
c1ccccc1.COc1c2ccc(-c3ccccc3)oc-2cc(=O)c1C,-1.88
CC(C)=O.NC(=O)/N=N/c1cccc(C(N)=O)c1,-1.49
O.OC1CCCCCCC1,-1.29
CCO.O=[N+]([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,-1.16
c1ccccc1.Cc1ccc(N(c2cccc(C)c2)c2cccc(C)c2)cc1,0.44
c1ccccc1.CN1C(=O)CC(c2ccccc2)C1=O,0.67
CCO.c1ccc2c(c1)-c1cccc3cccc-2c13,-1.03
CC(C)=O.NC(=O)c1cccc2nc3ccccc3nc12,-2.28
O.CCc1ccc2cc3ccccc3cc2c1,-6.89
CC(C)=O.CCCCCCCC(=O)N(C(=O)Nc1ccc(N(C)C)cc1)c1ccc(N(C)C)cc1,-1.66
CC(C)=O.c1ccc(CN(c2ccccc2)c2ccccc2)cc1,-0.41
O.CN(C)C(=O)OC1=CC(=O)CC(C)(C)C1,-0.85
O.O=C(O)Cn1cnnn1,0.08
c1ccccc1.C1C2CC3CC1CC(C2)C3,-0.83
O.CC(C)CN(CC(C)C)C(=O)COC(=O)c1ccccc1,-3.56
O.Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,-7.20
c1ccccc1.O=[N+]([O-])c1ccc(NN=Cc2ccc(Br)cc2)c([N+](=O)[O-])c1,-3.16
