ssid,dgsolv
CCC(C)CC.CCCC(F)C(F)C,-4.26048982
CC(Cl)Cl.NC1CC1,-3.69692462
OCCOCC.CCOCC(OCC)=O,-6.52404579
OC(C)C.FC(F)C(F)(OC1(F)F)C(F)(F)C1(F)F,-2.89292618
Cc1ccccc1N(=O)=O.c(ccc41)cc1ccc3c4[nH]c5c3ccc2ccccc52,-17.70606518
CC(C)C.ClC(=C)C=C,-3.42058296
OCC(O)CC.CC(C)CCC(CC)=O,-5.86576868
BrC(Br)C(Br)Br.S=c1[nH]c([nH]cc1)=S,-11.81344405
OCCCCO.CCS(Cl)(=O)=O,-6.42255754
N#CCCCC#N.O=CCCC=C2CC3CC2C1CCCC31,-8.89793979
CCCCCCCCCCCCCCCC.Fc1oc(C)cc1,-3.17803469
CC(C)CC(C)=O.FC(F)C(F)C(F)(F)C(F)(F)F,-3.06997976
CCCC=O.CCCCCCCC=CCO,-8.90645952
C(c2ccccc2)c1ccccc1.CC(Cl)CC(O)=O,-6.52457956
CC=O.COC(C)(C)CN,-5.4524097
ClCCl.CC(C)N=C(N(C(C)C)C(C)C)N(C(C)C)C(C)C,-10.70468114
c1ccccc1.C=CCNC(=O)N,-8.70153177
C(c2ccccc2)c1ccccc1.OC(CNCCC#N)=O,-10.66552734
OCCC(C)C.C3C1CC1C2CC32,-4.04979108
Fc1ccccc1.CCCOc1ccccc1,-7.51009188
Cc1ccccn1.COC(C(F)F)C(F)(F)F,-3.73031096
CCN(CC)C(C)=O.CCc1ccncc1,-6.64295988
OCCCC.ClCC(F)(F)F,-2.83547905
COC(OC)=O.Cc1cc(ccc1N(=O)=O)N(=O)=O,-10.88857353
COCCOCCOC.OCC(O)c1ccccc1,-11.25551274
CC(C)(C)c1ccccc1.O=CCCc(cc1)ccc1C,-8.70464391
C1CCCC1.CCCC(F)(F)C(F)(F)O,-4.50101858
CCOC(OCC)=O.CCCCOC(C)C,-4.63236071
OCCCCC.CN(C)C=NC1(CC3C2)CC(C3)CC2C1,-10.24751849
CC(CC(C)=O)=O.Brc3ccc(cc3)N=C(c1ccccc1)N(C)c2ccccc2,-15.71986294
C=Cc1ccccc1.CCOC(=O)c(cc1)ccc1C,-8.95252604
CCCCCCCC=C.CCCCC(C(CCC)Sc1ccoc1C)=O,-10.73976562
CCC=C.CC(C)OC(C(C)C)=O,-5.55069916
C(C=Cc1cc2)c1cc2.COC(Cl)Cl,-4.34706733
CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C.NCCCN1CCOCC1,-6.53271451
CCC(C)C.CCC(C)(C)N(C)C,-5.02405469
CI.OC(=O)c(ccc1C2=O)cc1C(O2)=O,-12.60948142
CCN(CC)CC.Clc(ccc2O)cc2C(=O)c1ccccc1,-11.71081696
Clc2c1ccccc1ccc2.FCC(C)=O,-3.67650997
O=S=O.FC(F)(F)CC(F)C(F)(C(F)(F)F)C(F)(F)F,-3.02400602
OCC1CCCO1.CCCCCCCCCCC(Br)CBr,-10.54006271
CCCCOC(=O)c1ccccc1C(OCCCC)=O.c(ccc1nc2ccccc2n3)cc31,-10.49777457
CC(C)(C)CC(C)CC(C)(C)CC(C)(C)C.ClCl,-1.43101781
OCCCCCCCCCCCC.c(cnc2c1ccccc1c3)cc2c3,-10.12510493
CCBr.NCc(cc1F)cc(F)c1,-7.19068493
COCCOCCOCCOCCOC.FC(F)(F)OCC(F)(F)C(F)(F)C(F)F,-4.60350848
CN(C)C(C)=O.CCCCOC(CCC)=O,-6.11726039
CC1CCCC1.COC(C(C)C)C(F)(F)F,-4.14521027
CCCCCCCCCCCCCCCC.C1OCCOC1,-3.75290838
OCCCCCC.Fc1cc(C#N)ccc1,-6.41895248
CCCCCCCCCCCCCCCC.Nc1cccc(Cl)c1Cl,-7.04695569
Nc1ccccc1.FC1CCCN1,-6.09939268
CC(C)(C)c1ccccc1.n1nscc1,-5.96089515
OCCCO.Fc1ccccc1N,-6.66056639
CCCC(C)=O.CCC(CC)C=O,-5.25874155
CCCCCCCl.C=CCCCCC=C,-5.00395792
CC(Cl)(Cl)Cl.OC(=O)C(C)=C,-4.91010269
CCCC(C)C.BrC1=CNC(=O)N=C1N,-9.0832871
CC1OC1.COC(C)(OC)CC,-4.82276526
ClCCCl.CCN1CCCC1,-4.87261984
ClCCl.CCCCCC(=Cc(cc1)ccc1C)C=O,-13.73616578
OCc1occc1.CCOC(CC1(C)OC(C)CO1)=O,-9.27052304
O=CN.OC(COC(C)(C)C)COC(C)(C)C,-7.4415077
NCCC.NS(=O)(=O)C1=NN=C(S1)C1=CC=CC=C1Cl,-23.057652
CS(C)=O.CCC(F)C(F)C,-3.81245152
CCCCC(C)=O.ClP(Cl)(Cl)(Cl)Cl,-5.93458299
O(Cc2ccccc2)Cc1ccccc1.Oc1cc(C)cc(C)c1,-8.47729964
c1cscc1.OC(=O)c3cc1ccccc1c(Cc(c4O)c2ccccc2cc4C(O)=O)c3O,-22.33796145
COC(CC#N)=O.NCCCCCN,-7.02542336
FC(F)C(F)C(F)(F)F.O=C2c1ccccc1C=CC2=O,-12.44841146
ClC(Cl)=O.Fc1ccoc1O,-5.45817174
ClC(Cl)C(O)=O.CCCCCC1OC(CC1)=O,-13.57749414
N#CCCOCCC#N.CCOC(F)(F)C(F)(F)CF,-3.96594462
COCCOCCOC.ClC(Cl)C(F)(F)Cl,-4.70896554
Fc1c(F)c(F)c(F)c(F)c1F.CC1(C)CC(=O)C=C(C)C1,-7.97144073
FC(F)(F)C(F)(F)C(F)(F)F.FC(F)(F)C(F)(F)OC(F)=C(F)F,-2.52319115
Clc2c1ccccc1ccc2.CCCOC(C(C)C)=O,-5.8933875
CCCCCCCCCC.CCC(OC=C)=O,-3.73273951
CCCCC.COc(ccc1C=O)cc1OC,-8.42177062
OCCOCCO.OC(=O)c(cc1C)cc(C)c1C,-11.41056749
OCC1CCCO1.CC2=CC(c1ccccc1C2=O)=O,-9.74028507
CC(C)c(cc1)ccc1C.CC(C)CON=O,-3.96592184
CC(C)c1ccccc1.OC1=CC=C(C=C1)C1=COC2=C(C(O)=CC(O)=C2)C1=O,-17.2441699
CC=O.NCC1CCCCC1,-5.91756488
CCCC(C)C.CCCC,-2.35217623
CC(C)CCC(C)(C)C.Cc1cc(C)ccn1,-5.71114958
ClC(Cl)=O.CC1(S2)SC3(C)SC(C)(C1)SC2(C)C3,-13.40802848
OCCO.O=N(=O)N1CCN(CC1)N(=O)=O,-11.89386942
CC(C)CC(C)=O.FC(F)(F)C1CCCC1,-4.06656025
ClC(Cl)C(O)=O.CSSCC=C,-5.62573836
ClC(Cl)=O.CN(C)c1ccccc1C,-7.75746523
BrCCBr.OC(=O)c1ccccc1O,-8.50643413
C#N.CC(C)CC=NO,-8.20975953
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.CC(C)N=C=NC(C)C,-3.8920628
OCC(O)CC.COc(cc1)ccc1F,-5.46766524
CC(C)=C.FCC(F)(F)Cl,-2.78487871
CCC(C)C.CCC(C(C)C)C(F)(F)F,-4.54072688
O=CN.Clc3cc(Cl)c2Oc1ccccc1Oc2c3Cl,-8.42378393
CC(CC1)CS1(=O)=O.CC(C)CC=O,-4.39804552
ClC(Cl)C(O)=O.C=CC1OC1,-5.71523849
CC(Cl)Cl.FCC(C)(C)C(F)(F)C(F)(F)F,-3.97663311
COC(OC)=O.N#CSCC=C,-7.10819139
Ic1ccccc1.OCCCCCC(C)C,-6.92013277
CCC(O)(C)C.O=CN1CCOCC1,-8.5404323
n1ccccc1.OOC(C)(C)c1ccccc1,-10.72308269
CCOCC.FC(Br)C(F)(F)O,-9.25742149
CC(C)CC(C)(C)C.FCC(Cl)(Cl)C(F)(F)F,-3.38380078
Fc1ccccc1.c1nccnc1,-5.58849796
SC.CN1CCOC1,-5.66394147
CC1CCCC1.CCOC(C(C)Cl)=O,-5.07245144
CCBr.Oc(cc1Cl)cc(Cl)c1Cl,-10.43409846
BrC(Br)Br.CCNCC(C)=C,-5.45880528
OCC1CCCO1.C=CN(=O)=O,-5.04454929
N#CCCCC#N.N#CC1=NC=CC(=C1)C1=NNC(=N1)C1=CC=NC=C1,-20.11475099
CC(C)CC(C)C.CC(C)CN(=O)=O,-4.53638557
OCCOCCOCCCC.Nc(cnc1c2N)nc1ncn2,-17.96865617
OCCCCCCCCC.C1CC1,-1.3967917
CCC(C)=C.NCCNCC,-4.99973121
CNc1ccccc1.CCCCC#C,-3.96685362
O=CN1CCOCC1.CC(C)(C)Cl,-3.64211958
CC(C)CCC(C)(C)C.Oc1ccccc1C#N,-6.10293478
OCCCCCCCCCC.CN(C)S(C)=O,-6.60125192
COCOC.CNc1ccncc1,-9.78817031
FCCCCCCCC.OS(c1cccnc1)(=O)=O,-11.85485593
OCCOCCCC.FCOC(F)(C)C(F)(F)F,-3.59744963
CCCCCCC.CCOC(C)OCC,-4.50053708
O(Cc2ccccc2)Cc1ccccc1.FC(F)(F)C(O)=O,-6.23226158
CCN(=O)=O.O=C1CCCCCC=CCCCCCCCCO1,-11.88610837
FC(F)(F)C(F)(F)C(F)(F)F.OC(C)C(C)(C)C=CC1CC=C(C)C1(C)C,-7.45448651
CC1CCCCC1.CC(C)CCOC(CC)=O,-6.09837829
COP(OC)(OC)=O.CCOc1ccccc1OCC,-8.80063761
CCCCCCCC(OC(COC(CCCCCCC)=O)COC(CCCCCCC)=O)=O.FC1CCCNC1,-4.79618189
CCCCCCCCCOC(=O)c1ccccc1C(OCCCCCCCCC)=O.Cc1sc(C)cc1,-5.25449017
NCCCN(C)C.O=CN1CCOCC1,-8.12849861
CN(=O)=O.CNC=O,-7.59862495
C(c2ccccc2)c1ccccc1.FC(F)(F)C1OC(F)(F)OC1(F)F,-2.62722959
CN1CCCCC1=O.OS(c1ccccc1)(=O)=O,-16.93222727
COC(CC#N)=O.COS(F)(=O)=O,-5.58806864
OCCOCCCC.C1OCCOCCOCCOCCOCCOC1,-15.21843044
CCCCCCCCCCCCCCC=C.FCC(F)C(F)(F)C(F)(F)C(F)CF,-4.11778781
CC(C)c1ccccc1.CCCCCCC(O)CC=CCCCCCCCC(O)=O,-15.78355332
CCC#N.ON(=O)=O,-7.20278131
C(CC1)CCC1C2CCCCC2.CCCCN(=O)=O,-4.62701888
CCOc1ccccc1.FC=CI,-4.29823867
COCCO.OC2C1=CC(OC1=CCO2)=O,-13.26131493
CC(C)C.FCC(F)(F)C(F)(F)C(F)F,-2.75166981
S=C=S.OC(=O)c1ccc(O)cc1O,-8.87299325
NC(C)C.O=C,-2.11176192
c1ccccc1.O=COCC=C,-4.84765351
FC(F)C.c(cc1)ccc1P(c3ccccc3)c2ccccc2,-13.48397895
Fc1ccccc1.NNC(=O)C1=CN2C=CC3=C(C=CC=C3)C2=N1,-15.07135256
FC(F)C(F)C(F)(F)F.FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-4.20641954
OCCOCCCC.S=C2SC(CCCC1)=C1S2,-10.99355103
CCN1CCCC1=O.FCOC(F)(F)C(F)(F)C,-4.73339752
O(c2ccccc2)c1ccccc1.CNCl,-3.44017398
OCCO.CC1=CC(=O)C=C(C)O1,-10.04046211
CCCCCCCCCCCCCCC.O=C1C=CC=CO1,-4.53270694
OCCCCC.CCC(Cl)=O,-3.82523184
Ic1ccccc1.NCC#N,-5.3609403
OCCCCCO.FC(F)(F)C(C)=O,-2.34088106
O(Cc2ccccc2)Cc1ccccc1.Cc1ccc2ccc(ccc3C)c(c3C)c2c1C,-12.4374654
CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C.CCC(C)(C(C)(CC)C#N)C#N,-7.22219896
OCCC.CCCCCCOC(=O)c1ccccc1O,-10.21254473
CCCCOC(C)=O.Cc3c1ccccc1cc2ccccc32,-11.58868964
FC(F)(F)C(F)(F)C(F)(F)F.COC(Br)=C,-2.66680944
OCCCC.CCc1ccccc1Cl,-6.16532307
COCCO.NNC(N)=S,-12.57126467
CCCCCC(C)=O.COC(=O)C=CC=CC,-6.80059756
C(CC2)CCC2c1ccccc1.CC(C)C(C)C(F)(F)F,-3.811609
CC(OCc1ccccc1)=O.CCCC(C)CN,-5.1054775
CC(CC(C)=O)=O.FC(F)(C)I,-3.77428381
OCC(O)CO.CCSCC,-2.98804138
CCOCCOCCOCC.Clc1c(Cl)c(Cl)c(c(Cl)c1Cl)N(=O)=O,-10.21324128
CC(C)c1ccccc1.COCCOCCOCCOCCOCCOCCOCCO,-20.41560108
OCCCCCCC.CC1CC(C)=CC1,-4.04237366
CCCCc1ccccc1.CCC(O)C(C)=O,-5.53965256
OCCOCC.CCCCC(CCCC)=O,-6.58975243
CCCCCCCCN(CCCCCCCC)CCCCCCCC.C1C=CC=CC1,-3.62801126
Brc1ccccc1.Nc1ccc(I)cc1,-9.5953157
FC(F)(F)C(F)(F)C(F)(F)F.CC3(C)C1C(CCC1C2(C)CCC3)C2=C,-6.83944038
C#N.CC2CCC3C2C1CC1CCC3=C,-8.03982076
CCCCCCCCCCCCCC.Sc2[nH]c1ccccc1n2,-8.47614941
CNC=O.COc1ccccc1OCC=C,-8.55675614
CCCCCCCCCCCCCC.OC1CCCCCC1,-5.68399622
CCC#N.CCOC(C)CO,-5.83965085
COCOC.ONC(c(ccc1)cc1N(=O)=O)=O,-13.947523
FCCCCCCCC.CCCCCCCCCC=CC=O,-9.74116004
Cc1ncccc1C.CC1CCc2c1nccn2,-7.85434949
CC(=O)c1ccccc1.ClC(Cl)(Cl)SN2C(C1CC=CCC1C2=O)=O,-13.89354561
O=S=O.CCCCC(F)(F)F,-3.36914946
OC(C)=O.FCOC(F)(F)CCC,-3.76931246
CCCCCCCCCC.O=S1CCC1,-4.26027842
CC(C)c1ccccc1.CCCCCCOCCCCCC,-8.5007894
OCCCCCCCC.C=CC1OC(OC1)=O,-7.09665453
CNC=O.OC(=O)c(ccc1N)cc1O,-19.392002
COC.CN(C)c4ccc(cc4)N=P(N3CCCC3)(N2CCCC2)N1CCCC1,-20.15504758
OC(C)C.ClCCC(F)(C(F)(F)F)C(F)(F)F,-3.79971975
CC(C)=C.FCCC(F)(C)CC,-4.89223209
ClCCCl.Fc1cccc(F)c1O,-6.09105279
CC(Cl)(Cl)Cl.CC(C)=C(C)C,-4.03169355
OCCCCCCC.CCOc(cc1)ccc1F,-6.17662471
OCCCCCCCC.OC(CCCCCCCCCCC(O)=O)=O,-17.39352639
OCc1ccccc1.ONC,-5.53912955
CC(C)(C)CC(C)CC(C)(C)CC(C)(C)C.O=C1C(=COC2=CC=CC=C12)C1=CC=CC=C1,-11.338346
CCCCCCCCCCCC.CCOC(OCC)=O,-4.57584982
CC(OCc1ccccc1)=O.OC(N)C(Cl)(Cl)Cl,-8.40222719
FCCCCCCCC.O=NN1CCN(CC1)N=O,-9.47233422
ICI.FC(F)(F)CC(F)(F)Br,-3.21065757
CCOCC.COc(cn1)ncc1C,-6.85034335
CCC#N.CCCCCC(=O)c1occc1,-9.08208905
Clc1ccccc1Cl.FC(F)(F)C(F)(F)C(O)(C)C,-4.0071275
C(CC2)CCC2c1ccccc1.CCCCC(=O)c1occc1,-7.95552485
O=C1CCCC1.COCCNCC,-5.2412048
CCCBr.ClC(OCC=C)=O,-5.51809538
CC(C)CC(C)=O.Nc(ccc1n2)cc1sc2,-11.70484477
OCc1ccccc1.ClBr,-2.37149348
COCOC.CN(c1ccccc1)C=O,-9.35475135
Cc1ncccc1C.CC1CCOCO1,-5.51174437
N#CCCOCCC#N.CC1(C)CC=CCC1,-3.20022116
N#CCc1ccccc1.OC1=NC2=C(N=NN2)C(O)=N1,-17.68408445
O1CCCC1.CCOC(C(F)(F)C(F)(F)F)=O,-4.61663824
CN1CCN(C)C1=O.CC(OCc1ccccc1)=O,-8.22151174
CCOC(=O)c1ccccc1.O=C1NC(=S)NC(CC2=CC=CC=C2)=C1,-16.13345978
CCC(C)C.O=c(cc1c2ccccc2)c1=O,-8.22575667
CN(C)P(=O)(N(C)C)N(C)C.FC(F)(C)OC(F)(F)C(F)(F)F,-2.5076066
CCCCCCCCCCCCC.OCC1CCC(CO)CC1,-7.29245777
CCOC(=O)c1ccccc1.CCCCCCOC(CCCCCCCCC)=O,-11.79760179
CCC(C)c1ccccc1.CCC(C)CCC(F)(F)F,-4.66754124
CCOP(OCC)(OCC)=O.Clc1ccc(cc1)C(=O)NO,-13.36937903
CCCCCCCCCC.CCCCCCCCCl,-6.35274892
CC(C)CCC(C)(C)C.CC(S)C(O)=O,-4.65409795
c2nc1ccccc1cc2.CN(C)CCCN3c1ccccc1CCc2ccccc32,-14.63997716
COCCOCCO.O=Cc2cc1ccccc1cc2,-9.86848653
CC(Cl)(Cl)Cl.CCCCCCCCCCCCCCC(=O)NC,-15.14326324
CNc1ccccc1.CC2=Cc1ccccc1C=C(C)C2=O,-12.13970156
CCCCCCC.COC(CC)=O,-3.50122346
CCCCCCCl.CC1CC=CCCCCCCCC(OCC1)=O,-11.93179872
Cc2c1ccccc1ccc2.CC(C(CCC1)CC1(C)C)OC=O,-8.80029092
CCCCCCC.OC(=O)CC1=CC=C(C=C1)C1=CC=CC=C1,-11.32327458
ClB(Cl)Cl.O=C1C2CCC1CC2,-6.12957217
CCCCN(CCCC)CCCC.OC(=O)c(cc1)oc1C,-7.78178914
OCCC#N.OC1=CCCCC1=O,-6.81933968
C=Cc1ccccc1.O=C5c3cc1ccccc1cc3C(=O)c4cc2ccccc2cc54,-18.16199891
CC(Cl)Cl.CN(C)CN=C,-5.15072109
Cc2c1ccccc1ccc2.CCOC(=O)c1ccccn1,-8.97698344
NCCN.S=C1SC=CS1,-9.39159686
CCCCCN(CCCCC)CCCCC.C(CN=C1c2ccccc2)C1,-7.84587931
O1CCCC1.CCCCCCCCCCCC(OCC)=O,-11.25379637
CCOCC.Cc1ccc(cc1)S(=O)(=O)NS(c(cc2)ccc2Cl)(=O)=NS(C(F)(F)F)(=O)=O,-22.34015001
CCCCCN(CCCCC)CCCCC.OC(C)C(C)CCC1CC=C(C)C1(C)C,-9.21174022
COP(OC)(OC)=O.OC(C)(C)CCC1CCCCC1,-8.82079312
O(c2ccccc2)c1ccccc1.ONC=O,-5.81241812
CCCCCCCC=C.C3c1ccccc1c2ccccc2C3,-9.85834449
OCCCCCC.FC(C)C(F)(F)C(F)(F)O,-8.58222701
c1ccccc1.CCc1ccc(O)cc1O,-9.68516839
NCc1ccccc1.FC(F)C(Cl)C(F)(F)Cl,-4.52695388
CCCCC(CC)=O.ClCC=N,-5.02391129
CCC1OC1.O=C1NCCCCCC1,-9.34691022
CCC(C)CC.FC(F)(F)OC1CCCC1,-4.26244115
CNC=O.Fc2cc1ccccc1cc2,-6.57560357
ClC(Cl)Cl.CC1OCC(C1O)=O,-6.20642983
ICI.FC(F)(F)C(F)(F)C(F)(F)C(F)(C)C,-2.84190648
ClC(Cl)C(Cl)Cl.O=N(=O)C(COC(OCC(N(=O)=O)(N(=O)=O)N(=O)=O)(OCC(N(=O)=O)(N(=O)=O)N(=O)=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O)(N(=O)=O)N(=O)=O,-20.51325274
C1CCCC1.FC(F)(F)C(C(F)(F)F)(C(F)(F)C)C(F)(F)C,-4.4779089
CS(C)=O.Fc1ccccc1F,-4.12542353
OCc1occc1.COC(OCCC=CCC)=O,-7.17203529
OCC(O)CC.N#CCC#N,-7.40073247
N#CCCCCC#N.NCCCC(F)F,-5.43582218
CCCCCCCC.O=C(CC(=O)N)N,-6.00533346
CCCCCCCCCC.CC(CC1)OC21C(C)(C)CCCC2(O)C,-8.94976203
COC(CC#N)=O.FCC(F)(F)OC(F)(F)C,-3.98344805
CCN(CC)CC.CCCNC(F)(F)F,-4.63842502
S=C=S.CCOC(=O)c(ccc1)cc1C,-8.52509862
C1OC1.CC2CC(CCCC1(C)C)=C1CC2(C)C(C)=O,-10.82173059
NCCN.Clc1cc(ccc1)NC(=O)NC,-18.06955005
CCCCCC.Fc1ccc(cc1)NC(=O)N(C)C,-9.06060752
CCCCCCCC.c(ccc2c1ccccc1c3)cc2n3,-9.98930973
CCC(C)=C.CC(C)CC=NO,-5.67754745
CCCCC(CC)COC(CCCCC(OCC(CC)CCCC)=O)=O.COc(ccc1C(O)=O)cc1OC,-11.88768584
CN(C)C(C)=O.CC(CC1)OC21C(C)=CCCC2(C)C,-7.85132737
CCC1OC1.CCOC(F)C(F)F,-4.64456225
CCCCCCCCCCCCC.FC(F)(F)SPSC(F)(F)F,-4.23522236
CCC#N.FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-4.22867056
CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C.COCCC(F)(F)C(F)(F)F,-2.78367292
CCOCC.CCCCCCCC,-5.06358568
C1CCCCC1.FC(F)(Cl)C(F)(F)C(F)(F)Cl,-3.16063606
ClC1CCCCC1.O=Cc1oc(cc1)N(=O)=O,-8.77597513
OC(C)C.CCOCC,-3.21892649
Brc1ccccc1.O=C1SC=CS1,-7.27637025
OCCC#N.CC1CC1(C)C,-1.52363286
N#Cc1ccccc1.ClP(Cl)(Cl)(Cl)Cl,-6.31643608
COc1ccccc1.NC1=NC(=O)C2=C(N1)C(CC1=CN=CC=C1)=CN2,-21.37284788
NCCCN(C)C.FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-3.48476842
N#CCCCC#N.C(c1cc2)c4ccc3ccccc3c4c1cc2,-11.04988258
CN(C)C(C)=O.[11CH3]NC1=CC=C(C=C1)C1=NC2=C(S1)C=C(O)C=C2,-23.54566065
NCc1ccccc1.CCC(=O)N,-9.54891925
c1ccccc1.CC1(C)C(C1C(OC(C#N)c(ccc3F)cc3Oc2ccccc2)=O)C=C(Cl)Cl,-20.15586175
Cc1ncccc1C.CCOP(OCC)(C(Cl)(Cl)Cl)=O,-9.69646444
COCOC.CC1=CN(C(=O)C=C1)C1=CC=CC=C1,-12.16067896
Clc1ccccc1Cl.CC(C)=CCCC(C)C(=C)C=O,-8.52447401
CCCC(C)C.Cc1occc1S,-5.2555137
Fc1ccccc1.OC(=O)c(ccc1N)cc1N,-11.42502718
Cc1cccc(C)c1C.Nc2c1cccnc1ccc2,-10.22562856
OCCC.O=CCCCC=O,-6.69068573
O1CCCC1.CCC(F)C=O,-4.72846826
CCCCC(CO)CC.ClC(=O)C=Cc1ccccc1,-8.51843046
CC(C)c1ccccc1.CCCCC(CC)C=O,-6.65653156
C(c2ccccc2)c1ccccc1.O(Cc2occc2)Cc1occc1,-8.93400285
O.FC(F)(F)C(C)C(F)(F)C(F)(F)F,2.1609109
CCCCCCCCCOC(=O)c1ccccc1C(OCCCCCCCCC)=O.ON=C1C=CC(=NO)C=C1,-11.76781824
CCCCCC(C)=O.CCCC(C)=O,-4.91557948
N1CCCC1.CS(c1ccccc1)(=O)=O,-10.56393888
ClB(Cl)Cl.Oc1ccc(cc1)c(cc2)ccc2O,-12.16380614
CCCCCCCCCC.CCCCCC(CO)C(C)=O,-7.08514865
OCC(C)C.CCC(O)C(C)=O,-6.12044203
OCC.FCCOCC,-4.24785369
OCCC.OCCC(N)C(O)=O,-13.69920399
Cc1ccccc1N(=O)=O.CC(C)(C)C(C)=C,-3.63827695
